Screen,Key,EN,PT,IT,Language 4,Language 5,Language 6,Language 7,Language 8
Header,StandUpMode-Time,It's @Time. Start Daily Meeting?,,,,,,,
Header,StandUpMode-PickLength,Daily Meeting: Pick length,,,,,,,
Header,StandUpMode-PickLength-15min,15 minutes,,,,,,,
Header,StandUpMode-PickLength-30min,30 minutes,,,,,,,
Header,StandUpMode-PickLength-45min,45 minutes,,,,,,,
Header,StandUpMode-PickLength-60min,60 minutes,,,,,,,
Header,StandUpMode-PickLength-CancelButton,CANCEL,,,,,,,
Header,StandUpMode-PickLength-OKButton,OK,,,,,,,
Header,StandUpMode-Ready15min,15:00 minutes,,,,,,,
Header,StandUpMode-Ready30min,30:00 minutes,,,,,,,
Header,StandUpMode-Ready45min,45:00 minutes,,,,,,,
Header,StandUpMode-Ready60min,60:00 minutes,,,,,,,
Header,StandUpMode-Started,@min:@sec minutes,,,,,,,
Header,StandUpMode-Overtime,-@min:@sec minutes,,,,,,,
Header,StandUpMode-PopIn-DMfinished,The Daily Meeting lasted @min:@sec minutes,,,,,,,
Header,StandUpMode-PopIn-DMovertime,The Daily Meeting went overtime and lasted @min:@sec minutes.,,,,,,,
Header,StandUpMode-PopIn-TimerLimit1,The Daily Meeting went 30 minutes overtime!,,,,,,,
Header,StandUpMode-PopIn-TimerLimit2,The timer has stopped counting.,,,,,,,
Header,StandUpMode-PopIn-OKButton,OK,,,,,,,
Header,EditBoard-Button,EDIT BOARD,,,,,,,
Header,SaveBoard-Button,SAVE BOARD,,,,,,,
Header,LogAction-Button,LOG ACTION,,,,,,,
Pillars,Safety-Pillar,Safety,,,,,,,
Pillars,People-Pillar,People,,,,,,,
Pillars,Quality-Pillar,Quality,,,,,,,
Pillars,Planning-Pillar,Planning,,,,,,,
Pillars,Production-Pillar,Production,,,,,,,
Pillars,Maintenance-Pillar,Maintenance,,,,,,,
Pillars,PDCA-Pillar,PDCA,,,,,,,
Frequencies,Daily-Frequency,Daily,,,,,,,
Frequencies,BiWeekly-Frequency,Bi-Weekly,,,,,,,
Frequencies,Weekly-Frequency,Weekly,,,,,,,
Frequencies,Monthly-Frequency,Monthly,,,,,,,
Frequencies,Quarterly-Frequency,Quarterly,,,,,,,
Sign In Pop-In,SignIn-PopIn-Title,Sign in successful!,,,,,,,
Sign In Pop-In,SignIn-PopIn-Text1,You can now edit the eVisual Factory board.,,,,,,,
Sign In Pop-In,SignIn-PopIn-Text2,Don't forget to save it when you're done.,,,,,,,
Sign In Pop-In,SignIn-PopIn-Button,OK,,,,,,,
Safety Cross,SafetyCross-Title,Safety Cross,,,,,,,
Safety Cross,SafetyCross-TimeframeLabel,Month,,,,,,,
Safety Cross,SafetyCross-TimeframeContent,@Month @Year,,,,,,,
Safety Cross,SafetyCross-ResponsibleLabel,Responsible,,,,,,,
Safety Cross,SafetyCross-AddDataButton,ADD DATA,,,,,,,
Safety Cross,SafetyCross-EditDataButton,EDIT DATA,,,,,,,
Safety Cross,SafetyCross-Legend-Green,Safety OK,,,,,,,
Safety Cross,SafetyCross-Legend-Orange,Near Missing,,,,,,,
Safety Cross,SafetyCross-Legend-Red,"Accident, Medical Treatment, DA",,,,,,,
Safety Cross,SafetyCross-Comments-Title,Comments,,,,,,,
Safety Cross,SafetyCross-Comments-Date,@DD/MM,,,,,,,
Safety Cross,SafetyCross-PopIn-AddDataTitle,Add safety status,,,,,,,
Safety Cross,SafetyCross-PopIn-EditDataTitle,Edit safety status,,,,,,,
Safety Cross,SafetyCross-PopIn-DateLabel,Date,,,,,,,
Safety Cross,SafetyCross-PopIn-StatusLabel,Status,,,,,,,
Safety Cross,SafetyCross-PopIn-CommentLabel,Comment,,,,,,,
Safety Cross,SafetyCross-PopIn-AddButton,ADD,,,,,,,
Safety Cross,SafetyCross-PopIn-CancelButton,CANCEL,,,,,,,
Safety Cross,SafetyCross-PopIn-OKButton,OK,,,,,,,
Presence at DM,PresenceAtDM-Title,Presence at Daily Meeting,,,,,,,
Presence at DM,PresenceAtDM-TimeframeLabel,Month,,,,,,,
Presence at DM,PresenceAtDM-TimeframeContent,@Month @Year,,,,,,,
Presence at DM,PresenceAtDM-ResponsibleLabel,Responsible,,,,,,,
Presence at DM,PresenceAtDM-AddDataButton,ADD DATA,,,,,,,
Presence at DM,PresenceAtDM-EditDataButton,EDIT DATA,,,,,,,
Presence at DM,PresenceAtDM-Legend-Green,Present,,,,,,,
Presence at DM,PresenceAtDM-Legend-Red,Absent,,,,,,,
Presence at DM,PresenceAtDM-RolesSafety,Safety representative,,,,,,,
Presence at DM,PresenceAtDM-RolesQuality,Quality representative,,,,,,,
Presence at DM,PresenceAtDM-RolesPlanning,Planning representative,,,,,,,
Presence at DM,PresenceAtDM-RolesCOO,Chief of operation,,,,,,,
Presence at DM,PresenceAtDM-RolesMaintenance,Maintenance representative,,,,,,,
Presence at DM,PresenceAtDM-RolesProduction,Production manager,,,,,,,
Presence at DM,PresenceAtDM-RolesShifts,Production supervisor,,,,,,,
Presence at DM,PresenceAtDM-PopIn-TitleAddData,Add data,,,,,,,
Presence at DM,PresenceAtDM-PopIn-TitleEditData,Edit data,,,,,,,
Presence at DM,PresenceAtDM-PopIn-DateLabel,Date,,,,,,,
Presence at DM,PresenceAtDM-PopIn-StatusLabel,Status,,,,,,,
Presence at DM,PresenceAtDM-PopIn-CancelButton,CANCEL,,,,,,,
Presence at DM,PresenceAtDM-PopIn-AddButton,ADD,,,,,,,
Presence at DM,PresenceAtDM-PopIn-OKButton,OK,,,,,,,
Action Follow-Up Table,ActionTable-Title,Action Follow-Up Table,,,,,,,
Action Follow-Up Table,ActionTable-ResponsibleLabel,Responsible,,,,,,,
Action Follow-Up Table,ActionTable-CreationDateLabel,Creation Date,,,,,,,
Action Follow-Up Table,ActionTable-GraphLabel,Graph,,,,,,,
Action Follow-Up Table,ActionTable-CauseLabel,Cause of the action,,,,,,,
Action Follow-Up Table,ActionTable-ActionDescLabel,Action Description,,,,,,,
Action Follow-Up Table,ActionTable-AssigneeLabel,Assignee,,,,,,,
Action Follow-Up Table,ActionTable-ValidatorLabel,Validator,,,,,,,
Action Follow-Up Table,ActionTable-DeadlineLabel,Deadline,,,,,,,
Action Follow-Up Table,ActionTable-StatusLabel,Status,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-LogActionTitle,Log action,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-EditActionLabel,Edit action,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-ToDoStatus,To do,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-InProgressStatus,In progress,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-DoneStatus,Done,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-Overdue-Status,Overdue,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-CancelButton,CANCEL,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-AddButton,ADD,,,,,,,
Action Follow-Up Table,ActionTable-PopIn-OKButton,OK,,,,,,,
Technical stops,TechStops-Title,Technical stops > 15 minutes,,,,,,,
Technical stops,TechStops-TimeframeLabel,Month,,,,,,,
Technical stops,TechStops-TimeframeContent,@Month @Year,,,,,,,
Technical stops,TechStops-ResponsibleLabel,Responsible,,,,,,,
Technical stops,TechStops-AddDataButton,ADD DATA,,,,,,,
Technical stops,TechStops-Legend,Daily total technical stops length > 1hour,,,,,,,
Technical stops,TechStops-LineTitle,@Line,,,,,,,
Technical stops,TechStops-PopIn-AddDataTitle,Add a technical stop,,,,,,,
Technical stops,TechStops-PopIn-ViewDataTitle,View technical stop details,,,,,,,
Technical stops,TechStops-PopIn-EditDataTitle,Edit technical stop,,,,,,,
Technical stops,TechStops-PopIn-DateLabel,Date,,,,,,,
Technical stops,TechStops-PopIn-LineLabel,Line,,,,,,,
Technical stops,TechStops-PopIn-LengthLabel,Length,,,,,,,
Technical stops,TechStops-PopIn-Length15min,15 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length20min,20 minute,,,,,,,
Technical stops,TechStops-PopIn-Length25min,25 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length30min,30 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length35min,35 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length40min,40 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length45min,45 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length50min,50 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length55min,55 minutes,,,,,,,
Technical stops,TechStops-PopIn-Length1h,1 hour,,,,,,,
Technical stops,TechStops-PopIn-Length1h15,1:15 hours,,,,,,,
Technical stops,TechStops-PopIn-Length1h30,1:30 hours,,,,,,,
Technical stops,TechStops-PopIn-Length1h45,1:45 hours,,,,,,,
Technical stops,TechStops-PopIn-Length2h,2 hours,,,,,,,
Technical stops,TechStops-PopIn-LengthMore2h,> 2 hours,,,,,,,
Technical stops,TechStops-PopIn-CommentLabel,Comment,,,,,,,
Technical stops,TechStops-PopIn-CancelButton,CANCEL,,,,,,,
Technical stops,TechStops-PopIn-AddButton,ADD,,,,,,,
Technical stops,TechStops-PopIn-EditButton,EDIT,,,,,,,
Technical stops,TechStops-PopIn-OKButton,OK,,,,,,,
Blue collars presenteism,BlueCollars-Title,Blue Collars Presenteism,,,,,,,
Blue collars presenteism,BlueCollars-TimeframeLabel,Month,,,,,,,
Blue collars presenteism,BlueCollars-TimeframeContent,@Month @Year,,,,,,,
Blue collars presenteism,BlueCollars-ResponsibleLabel,Responsible,,,,,,,
Blue collars presenteism,BlueCollars-AddDataButton,ADD DATA,,,,,,,
Blue collars presenteism,BlueCollars-EditDataButton,EDIT DATA,,,,,,,
Blue collars presenteism,BlueCollars-LegendRed,Performance below target,,,,,,,
Blue collars presenteism,BlueCollars-LegendGreen,Performance above target,,,,,,,
Blue collars presenteism,BlueCollars-NorthingLabel,Number of absent blue collars,,,,,,,
Blue collars presenteism,BlueCollars-EastingLabel,Days,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-AddDataTitle,Add data,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-EditDataTitle,Edit data,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-DateLabel,Date,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-InputLabel,Input,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-CommentLabel,Comment,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-CancelButton,CANCEL,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-AddButton,ADD,,,,,,,
Blue collars presenteism,BlueCollars-PopIn-OKButton,OK,,,,,,,
Monthly yield per line,MonthlyYield-Title,Monthly Yield / @Line,,,,,,,
Monthly yield per line,MonthlyYield-TimeframeLabel,Year,,,,,,,
Monthly yield per line,MonthlyYield-TimeframeContent,@Year,,,,,,,
Monthly yield per line,MonthlyYield-ResponsibleLabel,Responsible,,,,,,,
Monthly yield per line,MonthlyYield-AddDataButton,ADD DATA,,,,,,,
Monthly yield per line,MonthlyYield-EditDataButton,EDIT DATA,,,,,,,
Monthly yield per line,MonthlyYield-LegendRed,Performance below target,,,,,,,
Monthly yield per line,MonthlyYield-LegendGreen,Performance above target,,,,,,,
Monthly yield per line,MonthlyYield-NorthingLabel,Percentage of yield,,,,,,,
Monthly yield per line,MonthlyYield-EastingLabel,Months,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-AddDataTitle,Add data,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-EditDataTitle,Edit data,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-DateLabel,Month,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-InputLabel,Input,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-CommentLabel,Comment,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-CancelButton,CANCEL,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-AddButton,ADD,,,,,,,
Monthly yield per line,MonthlyYield-PopIn-OKButton,OK,,,,,,,
Daily production per line,DailyProduction-Title,Daily Production / @Line,,,,,,,
Daily production per line,DailyProduction-TimeframeLabel,Month,,,,,,,
Daily production per line,DailyProduction-TimeframeContent,@Month @Year,,,,,,,
Daily production per line,DailyProduction-ResponsibleLabel,Responsible,,,,,,,
Daily production per line,DailyProduction-AddDataButton,ADD DATA,,,,,,,
Daily production per line,DailyProduction-EditDataButton,EDIT DATA,,,,,,,
Daily production per line,DailyProduction-LegendRed,Performance below target,,,,,,,
Daily production per line,DailyProduction-LegendGreen,Performance above target,,,,,,,
Daily production per line,DailyProduction-NorthingLabel,Tons per shift produced,,,,,,,
Daily production per line,DailyProduction-EastingLabel,Days,,,,,,,
Daily production per line,DailyProduction-PopIn-AddDataTitle,Add data,,,,,,,
Daily production per line,DailyProduction-PopIn-EditDataTitle,Edit data,,,,,,,
Daily production per line,DailyProduction-PopIn-DateLabel,Date,,,,,,,
Daily production per line,DailyProduction-PopIn-InputLabel,Input,,,,,,,
Daily production per line,DailyProduction-PopIn-CommentLabel,Comment,,,,,,,
Daily production per line,DailyProduction-PopIn-CancelButton,CANCEL,,,,,,,
Daily production per line,DailyProduction-PopIn-AddButton,ADD,,,,,,,
Daily production per line,DailyProduction-PopIn-OKButton,OK,,,,,,,
Daily production for all lines,DailyProdAll-Title,Daily Production / All lines,,,,,,,
Daily production for all lines,DailyProdAll-TimeframeLabel,Month,,,,,,,
Daily production for all lines,DailyProdAll-TimeframeContent,@Month @Year,,,,,,,
Daily production for all lines,DailyProdAll-ResponsibleLabel,Responsible,,,,,,,
Daily production for all lines,DailyProdAll-LegendRed,Performance below target,,,,,,,
Daily production for all lines,DailyProdAll-LegendGreen,Performance above target,,,,,,,
Daily production for all lines,DailyProdAll-NorthingLabel,Tons per shift produced,,,,,,,
Daily production for all lines,DailyProdAll-EastingLabel,Days,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-Title,Daily production / All lines / Accumulated,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-TimeframeLabel,Month,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-TimeframeContent,@Month @Year,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-ResponsibleLabel,Responsible,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-AddDataButton,ADD DATA,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-EditDataButton,EDIT DATA,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-LegendRed,Performance below target,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-LegendGreen,Performance above target,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-NorthingLabel,Tons per shift produced,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-EastingLabel,Days,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-PopIn-AddDataTitle,Add data,,,,,,,
Daily production for all lines - accumulated,DailyProdAcc-PopIn-EditDataTitle,Edit data,,,,,,,
